,Genre,Tags,Positive Reviews,Negative Reviews,Copies Sold,Positive Percentage
271,Casual,Hidden Object,15,3,20000-50000,0.8333333333333334
272,Strategy,Tower Defense,14630,454,1000000-2000000,0.9699018827897109
273,Strategy,Zombies,14630,454,1000000-2000000,0.9699018827897109
274,Strategy,Strategy,14630,454,1000000-2000000,0.9699018827897109
275,Casual,Casual,97,57,50000-100000,0.6298701298701299
276,Casual,Hidden Object,97,57,50000-100000,0.6298701298701299
277,Casual,Puzzle,97,57,50000-100000,0.6298701298701299
278,Casual,Casual,8,3,20000-50000,0.7272727272727273
279,Casual,Hidden Object,8,3,20000-50000,0.7272727272727273
280,Action,Casual,435,28,100000-200000,0.9395248380129589
281,Action,Action,435,28,100000-200000,0.9395248380129589
282,Casual,Casual,435,28,100000-200000,0.9395248380129589
283,Casual,Action,435,28,100000-200000,0.9395248380129589
284,Action,Action,1181,377,500000-1000000,0.7580231065468549
285,Action,Action,559,79,50000-100000,0.8761755485893417
286,Action,FPS,559,79,50000-100000,0.8761755485893417
287,Strategy,Strategy,1847,95,200000-500000,0.951081359423275
288,Action,FPS,1434,219,200000-500000,0.867513611615245
289,Action,Action,1434,219,200000-500000,0.867513611615245
290,Action,Action,260,71,50000-100000,0.7854984894259819
291,Action,Story Rich,260,71,50000-100000,0.7854984894259819
292,Action,Action,369,110,50000-100000,0.7703549060542797
293,Action,Female Protagonist,369,110,50000-100000,0.7703549060542797
294,Action,Action,259,103,50000-100000,0.7154696132596685
295,Action,Female Protagonist,259,103,50000-100000,0.7154696132596685
296,Action,Platformer,8204,456,2000000-5000000,0.9473441108545034
297,Action,Adventure,8204,456,2000000-5000000,0.9473441108545034
298,Strategy,Strategy,1394,129,1000000-2000000,0.9152987524622456
299,Strategy,Turn-Based,1394,129,1000000-2000000,0.9152987524622456
300,Strategy,Strategy,2578,405,2000000-5000000,0.8642306402950051
301,Strategy,Turn-Based,2578,405,2000000-5000000,0.8642306402950051
302,RPG,Open World,2641,193,500000-1000000,0.9318983768525053
303,RPG,RPG,2641,193,500000-1000000,0.9318983768525053
304,Strategy,Strategy,39,49,20000-50000,0.4431818181818182
305,Strategy,Strategy,184,65,50000-100000,0.7389558232931727
306,Strategy,Simulation,184,65,50000-100000,0.7389558232931727
307,Strategy,Strategy,121,20,1000000-2000000,0.8581560283687943
308,Strategy,Turn-Based,121,20,1000000-2000000,0.8581560283687943
309,Indie,Sandbox,363721,16433,10000000-20000000,0.956772781556948
310,Indie,Multiplayer,363721,16433,10000000-20000000,0.956772781556948
311,Simulation,Sandbox,363721,16433,10000000-20000000,0.956772781556948
312,Simulation,Multiplayer,363721,16433,10000000-20000000,0.956772781556948
313,Racing,Racing,119,43,200000-500000,0.7345679012345679
